"Dyad_ID","partnum","X_A","birthday_A","self_object_appearance_A","self_object_ability_A","other_object_appearance_A","other_object_ability_A","self_object.tavg_A","other_object.tavg_A","relation_qual.avg_A","X_P","birthday_P","self_object_appearance_P","self_object_ability_P","other_object_appearance_P","other_object_ability_P","self_object.tavg_P","other_object.tavg_P","relation_qual.avg_P"
"6359824",2,38,58,6.8,4.2,5.8,5.2,-2.6,-0.6,8.4,37,56,7.2,3.8,6.6,4.4,-3.4,-2.2,6.8
"6894072",1,39,43,6.4,4.6,5.2,5.8,-1.8,0.6,8.3,40,50,4.6,6.4,5.4,5.6,1.8,0.199999999999999,4.7
"6894072",2,40,50,4.6,6.4,5.4,5.6,1.8,0.199999999999999,4.7,39,43,6.4,4.6,5.2,5.8,-1.8,0.6,8.3
"7403083",1,41,33,5.6,5.4,5,6,-0.199999999999999,1,4.5,42,40,4.4,6.6,6,5,2.2,-1,5
"7403083",2,42,40,4.4,6.6,6,5,2.2,-1,5,41,33,5.6,5.4,5,6,-0.199999999999999,1,4.5
"10211595",1,43,56,6.8,4.2,5.8,5.2,-2.6,-0.6,5.1,44,65,5.8,5.2,6.8,4.2,-0.6,-2.6,6.5
"10211595",2,44,65,5.8,5.2,6.8,4.2,-0.6,-2.6,6.5,43,56,6.8,4.2,5.8,5.2,-2.6,-0.6,5.1
"14872733",1,45,51,7.4,3.6,8,3,-3.8,-5,7.6,46,61,7.2,3.8,4,7,-3.4,3,7.2
"14872733",2,46,61,7.2,3.8,4,7,-3.4,3,7.2,45,51,7.4,3.6,8,3,-3.8,-5,7.6
"15149174",1,47,39,6.2,4.8,6.2,4.8,-1.4,-1.4,7.3,48,42,6,5,6.2,4.8,-1,-1.4,7.3
"15149174",2,48,42,6,5,6.2,4.8,-1,-1.4,7.3,47,39,6.2,4.8,6.2,4.8,-1.4,-1.4,7.3
"15892965",1,49,48,6.2,4.8,3.8,7.2,-1.4,3.4,7.8,50,71,,,,,,,6
"15892965",2,50,71,,,,,,,6,49,48,6.2,4.8,3.8,7.2,-1.4,3.4,7.8
"16244806",1,51,49,7,4,4.8,6.2,-3,1.4,9,52,49,4.4,6.6,4.6,6.4,2.2,1.8,8.7
"16244806",2,52,49,4.4,6.6,4.6,6.4,2.2,1.8,8.7,51,49,7,4,4.8,6.2,-3,1.4,9
"16699128",1,53,42,3,8,4.6,6.4,5,1.8,4.9,54,42,,,,,,,7.3
"16699128",2,54,42,,,,,,,7.3,53,42,3,8,4.6,6.4,5,1.8,4.9
"16711674",1,55,33,4,7,5.2,5.8,3,0.6,6.4,56,33,4.4,6.6,4.2,6.8,2.2,2.6,4.3
"16711674",2,56,33,4.4,6.6,4.2,6.8,2.2,2.6,4.3,55,33,4,7,5.2,5.8,3,0.6,6.4
"17701991",1,57,44,3.6,7.4,4.8,6.2,3.8,1.4,7.6,58,42,4.8,6.2,5.8,5.2,1.4,-0.6,6.7
"17701991",2,58,42,4.8,6.2,5.8,5.2,1.4,-0.6,6.7,57,44,3.6,7.4,4.8,6.2,3.8,1.4,7.6
"17986423",1,59,54,8,3,8,3,-5,-5,8.7,60,59,8,3,7.8,3.2,-5,-4.6,8.7
"17986423",2,60,59,8,3,7.8,3.2,-5,-4.6,8.7,59,54,8,3,8,3,-5,-5,8.7
"18097117",1,61,35,6.4,4.6,5,6,-1.8,1,7,62,35,7.2,3.8,6.4,4.6,-3.4,-1.8,6.6
"18097117",2,62,35,7.2,3.8,6.4,4.6,-3.4,-1.8,6.6,61,35,6.4,4.6,5,6,-1.8,1,7
"18284987",1,63,44,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.6,64,56,5.8,5.2,5.4,5.6,-0.6,0.199999999999999,9
"18284987",2,64,56,5.8,5.2,5.4,5.6,-0.6,0.199999999999999,9,63,44,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.6
"18324617",1,65,37,6.6,4.4,5.6,5.4,-2.2,-0.199999999999999,8.7,66,42,4.2,6.8,5,6,2.6,1,9
"18324617",2,66,42,4.2,6.8,5,6,2.6,1,9,65,37,6.6,4.4,5.6,5.4,-2.2,-0.199999999999999,8.7
"18756718",1,67,46,7.4,3.6,4.8,6.2,-3.8,1.4,8.2,68,46,6,5,5,6,-1,1,8.5
"18756718",2,68,46,6,5,5,6,-1,1,8.5,67,46,7.4,3.6,4.8,6.2,-3.8,1.4,8.2
"18785388",1,69,59,6.6,4.4,5,6,-2.2,1,8.5,70,57,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.8
"18785388",2,70,57,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.8,69,59,6.6,4.4,5,6,-2.2,1,8.5
"19323251",1,71,41,5.4,5.6,5,6,0.199999999999999,1,8.3,72,40,4.6,6.4,5.8,5.2,1.8,-0.6,8.9
"19323251",2,72,40,4.6,6.4,5.8,5.2,1.8,-0.6,8.9,71,41,5.4,5.6,5,6,0.199999999999999,1,8.3
"19733641",1,73,35,7.2,3.8,6.2,4.8,-3.4,-1.4,9,74,33,6.4,4.6,6.4,4.6,-1.8,-1.8,9
"19733641",2,74,33,6.4,4.6,6.4,4.6,-1.8,-1.8,9,73,35,7.2,3.8,6.2,4.8,-3.4,-1.4,9
"22536798",1,75,42,6.8,4.2,6.8,4.2,-2.6,-2.6,5.1,76,41,7,4,4.4,6.6,-3,2.2,5.2
"22536798",2,76,41,7,4,4.4,6.6,-3,2.2,5.2,75,42,6.8,4.2,6.8,4.2,-2.6,-2.6,5.1
"23712310",1,77,44,7,4,6,5,-3,-1,4.8,78,39,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,5
"23712310",2,78,39,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,5,77,44,7,4,6,5,-3,-1,4.8
"23782765",1,79,37,5.6,5.4,6.6,4.4,-0.199999999999999,-2.2,8.4,80,35,7.4,3.6,6.2,4.8,-3.8,-1.4,8.5
"23782765",2,80,35,7.4,3.6,6.2,4.8,-3.8,-1.4,8.5,79,37,5.6,5.4,6.6,4.4,-0.199999999999999,-2.2,8.4
"23799711",1,81,48,3.6,7.4,4.2,6.8,3.8,2.6,8,82,54,4,7,3.8,7.2,3,3.4,7.7
"23799711",2,82,54,4,7,3.8,7.2,3,3.4,7.7,81,48,3.6,7.4,4.2,6.8,3.8,2.6,8
"27005905",1,83,40,6.6,4.4,5,6,-2.2,1,8.9,84,40,7.6,3.4,6.2,4.8,-4.2,-1.4,8.4
"27005905",2,84,40,7.6,3.4,6.2,4.8,-4.2,-1.4,8.4,83,40,6.6,4.4,5,6,-2.2,1,8.9
"27311279",1,85,38,5.4,5.6,6.6,4.4,0.199999999999999,-2.2,,86,34,6.8,4.2,7.6,3.4,-2.6,-4.2,9
"27311279",2,86,34,6.8,4.2,7.6,3.4,-2.6,-4.2,9,85,38,5.4,5.6,6.6,4.4,0.199999999999999,-2.2,
"27511978",1,87,51,5.4,5.6,5,6,0.199999999999999,1,8.9,88,44,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,9
"27511978",2,88,44,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,9,87,51,5.4,5.6,5,6,0.199999999999999,1,8.9
"28021760",1,89,46,4.8,6.2,5.6,5.4,1.4,-0.199999999999999,7.6,90,49,6.2,4.8,4.4,6.6,-1.4,2.2,8.1
"28021760",2,90,49,6.2,4.8,4.4,6.6,-1.4,2.2,8.1,89,46,4.8,6.2,5.6,5.4,1.4,-0.199999999999999,7.6
"28947773",1,91,35,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8,92,31,5,6,5.4,5.6,1,0.199999999999999,8.4
"28947773",2,92,31,5,6,5.4,5.6,1,0.199999999999999,8.4,91,35,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8
"28992200",1,93,38,6.2,4.8,4.4,6.6,-1.4,2.2,6.2,94,39,5,6,7.8,3.2,1,-4.6,5.4
"28992200",2,94,39,5,6,7.8,3.2,1,-4.6,5.4,93,38,6.2,4.8,4.4,6.6,-1.4,2.2,6.2
"28992252",1,95,35,6.4,4.6,6.2,4.8,-1.8,-1.4,7.3,96,35,6,5,8,3,-1,-5,
"28992252",2,96,35,6,5,8,3,-1,-5,,95,35,6.4,4.6,6.2,4.8,-1.8,-1.4,7.3
"28993415",1,97,42,6.4,4.6,5.8,5.2,-1.8,-0.6,8.5,98,52,,,,,,,7.1
"28993415",2,98,52,,,,,,,7.1,97,42,6.4,4.6,5.8,5.2,-1.8,-0.6,8.5
"29008274",1,99,35,5.8,5.2,4.8,6.2,-0.6,1.4,5.4,100,35,7.6,3.4,4.4,6.6,-4.2,2.2,
"29008274",2,100,35,7.6,3.4,4.4,6.6,-4.2,2.2,,99,35,5.8,5.2,4.8,6.2,-0.6,1.4,5.4
"29008631",1,101,36,7,4,5.4,5.6,-3,0.199999999999999,8.5,102,33,5,6,5.6,5.4,1,-0.199999999999999,8.5
"29008631",2,102,33,5,6,5.6,5.4,1,-0.199999999999999,8.5,101,36,7,4,5.4,5.6,-3,0.199999999999999,8.5
"29014377",1,103,42,4.6,6.4,7.2,3.8,1.8,-3.4,7.5,104,51,6,5,5.2,5.8,-1,0.6,8.4
"29014377",2,104,51,6,5,5.2,5.8,-1,0.6,8.4,103,42,4.6,6.4,7.2,3.8,1.8,-3.4,7.5
"29027911",1,105,57,5.8,5.2,6.2,4.8,-0.6,-1.4,9,106,65,6.2,4.8,6.6,4.4,-1.4,-2.2,8.8
"29027911",2,106,65,6.2,4.8,6.6,4.4,-1.4,-2.2,8.8,105,57,5.8,5.2,6.2,4.8,-0.6,-1.4,9
"29029182",1,107,51,8,3,8,3,-5,-5,9,108,67,7.6,3.4,7.2,3.8,-4.2,-3.4,8.3
"29029182",2,108,67,7.6,3.4,7.2,3.8,-4.2,-3.4,8.3,107,51,8,3,8,3,-5,-5,9
"29070034",1,109,38,8,3,6.8,4.2,-5,-2.6,7.8,110,36,7,4,6,5,-3,-1,8.2
"29070034",2,110,36,7,4,6,5,-3,-1,8.2,109,38,8,3,6.8,4.2,-5,-2.6,7.8
"29077358",1,111,39,7.4,3.6,7.6,3.4,-3.8,-4.2,8.5,112,39,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,8.4
"29077358",2,112,39,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,8.4,111,39,7.4,3.6,7.6,3.4,-3.8,-4.2,8.5
"29080875",1,113,48,7.4,3.6,6,5,-3.8,-1,7.4,114,43,4.8,6.2,6.6,4.4,1.4,-2.2,7
"29080875",2,114,43,4.8,6.2,6.6,4.4,1.4,-2.2,7,113,48,7.4,3.6,6,5,-3.8,-1,7.4
"29083526",1,115,36,4.6,6.4,6.8,4.2,1.8,-2.6,6.2,116,36,7.8,3.2,5,6,-4.6,1,7.3
"29083526",2,116,36,7.8,3.2,5,6,-4.6,1,7.3,115,36,4.6,6.4,6.8,4.2,1.8,-2.6,6.2
"29090161",1,117,57,5.2,5.8,7.6,3.4,0.6,-4.2,7.8,118,60,8,3,8,3,-5,-5,8.1
"29090161",2,118,60,8,3,8,3,-5,-5,8.1,117,57,5.2,5.8,7.6,3.4,0.6,-4.2,7.8
"29108175",1,119,58,6.8,4.2,6.8,4.2,-2.6,-2.6,7.3,120,56,6.4,4.6,6.6,4.4,-1.8,-2.2,7.7
"29108175",2,120,56,6.4,4.6,6.6,4.4,-1.8,-2.2,7.7,119,58,6.8,4.2,6.8,4.2,-2.6,-2.6,7.3
"29113070",1,121,58,6.8,4.2,8,3,-2.6,-5,,122,57,8,3,7.2,3.8,-5,-3.4,8.5
"29113070",2,122,57,8,3,7.2,3.8,-5,-3.4,8.5,121,58,6.8,4.2,8,3,-2.6,-5,
"29120878",1,123,49,6.6,4.4,6.4,4.6,-2.2,-1.8,7.2,124,49,6.8,4.2,3.8,7.2,-2.6,3.4,9
"29120878",2,124,49,6.8,4.2,3.8,7.2,-2.6,3.4,9,123,49,6.6,4.4,6.4,4.6,-2.2,-1.8,7.2
"29169727",1,125,39,4.2,6.8,6.2,4.8,2.6,-1.4,7.4,126,47,5.2,5.8,6,5,0.6,-1,8.2
"29169727",2,126,47,5.2,5.8,6,5,0.6,-1,8.2,125,39,4.2,6.8,6.2,4.8,2.6,-1.4,7.4
"29169849",1,127,55,6.8,4.2,5.2,5.8,-2.6,0.6,8.1,128,59,6.2,4.8,4.8,6.2,-1.4,1.4,8.1
"29169849",2,128,59,6.2,4.8,4.8,6.2,-1.4,1.4,8.1,127,55,6.8,4.2,5.2,5.8,-2.6,0.6,8.1
"29186653",1,129,40,6.2,4.8,3.8,7.2,-1.4,3.4,8.4,130,41,5.2,5.8,4,7,0.6,3,8.9
"29186653",2,130,41,5.2,5.8,4,7,0.6,3,8.9,129,40,6.2,4.8,3.8,7.2,-1.4,3.4,8.4
"29187228",1,131,46,5.4,5.6,6.4,4.6,0.199999999999999,-1.8,7.2,132,46,4.4,6.6,3.8,7.2,2.2,3.4,7.7
"29187228",2,132,46,4.4,6.6,3.8,7.2,2.2,3.4,7.7,131,46,5.4,5.6,6.4,4.6,0.199999999999999,-1.8,7.2
"29196654",1,133,51,6.8,4.2,6.8,4.2,-2.6,-2.6,9,134,58,6.4,4.6,4.8,6.2,-1.8,1.4,8.6
"29196654",2,134,58,6.4,4.6,4.8,6.2,-1.8,1.4,8.6,133,51,6.8,4.2,6.8,4.2,-2.6,-2.6,9
"29226842",1,135,45,5.8,5.2,6.6,4.4,-0.6,-2.2,9,136,45,8,3,8,3,-5,-5,9
"29226842",2,136,45,8,3,8,3,-5,-5,9,135,45,5.8,5.2,6.6,4.4,-0.6,-2.2,9
"29237405",1,137,42,6.4,4.6,6.4,4.6,-1.8,-1.8,7.1,138,54,7.8,3.2,6,5,-4.6,-1,7.4
"29237405",2,138,54,7.8,3.2,6,5,-4.6,-1,7.4,137,42,6.4,4.6,6.4,4.6,-1.8,-1.8,7.1
"29251840",1,139,46,4.6,6.4,6.2,4.8,1.8,-1.4,5.9,140,46,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,
"29251840",2,140,46,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,,139,46,4.6,6.4,6.2,4.8,1.8,-1.4,5.9
"29258147",1,141,42,6.4,4.6,7.8,3.2,-1.8,-4.6,7.8,142,46,7.6,3.4,7.2,3.8,-4.2,-3.4,8.1
"29258147",2,142,46,7.6,3.4,7.2,3.8,-4.2,-3.4,8.1,141,42,6.4,4.6,7.8,3.2,-1.8,-4.6,7.8
"29273612",1,143,46,6.6,4.4,5.2,5.8,-2.2,0.6,8.8,144,54,6.4,4.6,4.4,6.6,-1.8,2.2,8.6
"29273612",2,144,54,6.4,4.6,4.4,6.6,-1.8,2.2,8.6,143,46,6.6,4.4,5.2,5.8,-2.2,0.6,8.8
"29273822",1,145,53,7.2,3.8,7,4,-3.4,-3,6.3,146,49,7,4,5.4,5.6,-3,0.199999999999999,6.8
"29273822",2,146,49,7,4,5.4,5.6,-3,0.199999999999999,6.8,145,53,7.2,3.8,7,4,-3.4,-3,6.3
"29275282",1,147,39,8,3,5.6,5.4,-5,-0.199999999999999,8.6,148,41,7.2,3.8,6,5,-3.4,-1,5.3
"29275282",2,148,41,7.2,3.8,6,5,-3.4,-1,5.3,147,39,8,3,5.6,5.4,-5,-0.199999999999999,8.6
"29276238",1,149,38,7,4,6,5,-3,-1,7.5,150,33,7,4,5.8,5.2,-3,-0.6,8.4
"29276238",2,150,33,7,4,5.8,5.2,-3,-0.6,8.4,149,38,7,4,6,5,-3,-1,7.5
"29281726",1,151,49,5.6,5.4,3.6,7.4,-0.199999999999999,3.8,9,152,51,6.4,4.6,6.2,4.8,-1.8,-1.4,8
"29281726",2,152,51,6.4,4.6,6.2,4.8,-1.8,-1.4,8,151,49,5.6,5.4,3.6,7.4,-0.199999999999999,3.8,9
"29291479",1,153,35,5.4,5.6,6.2,4.8,0.199999999999999,-1.4,5.6,154,35,7.2,3.8,4.2,6.8,-3.4,2.6,8.5
"29291479",2,154,35,7.2,3.8,4.2,6.8,-3.4,2.6,8.5,153,35,5.4,5.6,6.2,4.8,0.199999999999999,-1.4,5.6
"29302703",1,155,47,4.4,6.6,7,4,2.2,-3,4.5,156,43,7,4,4,7,-3,3,6.6
"29302703",2,156,43,7,4,4,7,-3,3,6.6,155,47,4.4,6.6,7,4,2.2,-3,4.5
"29319965",1,157,43,7,4,7.6,3.4,-3,-4.2,6.2,158,44,6.8,4.2,4.8,6.2,-2.6,1.4,7
"29319965",2,158,44,6.8,4.2,4.8,6.2,-2.6,1.4,7,157,43,7,4,7.6,3.4,-3,-4.2,6.2
"29322606",1,159,49,8,3,7,4,-5,-3,8.9,160,59,7.4,3.6,6,5,-3.8,-1,9
"29322606",2,160,59,7.4,3.6,6,5,-3.8,-1,9,159,49,8,3,7,4,-5,-3,8.9
"29346027",1,161,39,7,4,7.4,3.6,-3,-3.8,6.1,162,41,7.8,3.2,6,5,-4.6,-1,6.9
"29346027",2,162,41,7.8,3.2,6,5,-4.6,-1,6.9,161,39,7,4,7.4,3.6,-3,-3.8,6.1
"29356648",1,163,58,5,6,6,5,1,-1,9,164,60,6,5,6,5,-1,-1,9
"29356648",2,164,60,6,5,6,5,-1,-1,9,163,58,5,6,6,5,1,-1,9
"29358468",1,165,36,7.2,3.8,7.2,3.8,-3.4,-3.4,7.2,166,30,7.2,3.8,5.4,5.6,-3.4,0.199999999999999,8.4
"29358468",2,166,30,7.2,3.8,5.4,5.6,-3.4,0.199999999999999,8.4,165,36,7.2,3.8,7.2,3.8,-3.4,-3.4,7.2
"29398891",1,167,36,7,4,4.8,6.2,-3,1.4,8.6,168,30,5.2,5.8,4.2,6.8,0.6,2.6,8.7
"29398891",2,168,30,5.2,5.8,4.2,6.8,0.6,2.6,8.7,167,36,7,4,4.8,6.2,-3,1.4,8.6
"29434095",1,169,37,5.4,5.6,5.8,5.2,0.199999999999999,-0.6,,170,47,5,6,6.6,4.4,1,-2.2,
"29434095",2,170,47,5,6,6.6,4.4,1,-2.2,,169,37,5.4,5.6,5.8,5.2,0.199999999999999,-0.6,
"29447526",1,171,42,6.8,4.2,5.8,5.2,-2.6,-0.6,8,172,40,6.4,4.6,5.2,5.8,-1.8,0.6,8.2
"29447526",2,172,40,6.4,4.6,5.2,5.8,-1.8,0.6,8.2,171,42,6.8,4.2,5.8,5.2,-2.6,-0.6,8
"29457967",1,173,39,5.8,5.2,7.2,3.8,-0.6,-3.4,5.8,174,43,5.8,5.2,7.6,3.4,-0.6,-4.2,7.9
"29457967",2,174,43,5.8,5.2,7.6,3.4,-0.6,-4.2,7.9,173,39,5.8,5.2,7.2,3.8,-0.6,-3.4,5.8
"29459354",1,175,45,8,3,8,3,-5,-5,,176,49,7.2,3.8,8,3,-3.4,-5,8
"29459354",2,176,49,7.2,3.8,8,3,-3.4,-5,8,175,45,8,3,8,3,-5,-5,
"29469928",1,177,56,6.6,4.4,6.6,4.4,-2.2,-2.2,8.6,178,57,7.8,3.2,7.2,3.8,-4.6,-3.4,8.4
"29469928",2,178,57,7.8,3.2,7.2,3.8,-4.6,-3.4,8.4,177,56,6.6,4.4,6.6,4.4,-2.2,-2.2,8.6
"29472035",1,179,42,4.4,6.6,4.8,6.2,2.2,1.4,6.2,180,42,4.8,6.2,4.4,6.6,1.4,2.2,5.7
"29472035",2,180,42,4.8,6.2,4.4,6.6,1.4,2.2,5.7,179,42,4.4,6.6,4.8,6.2,2.2,1.4,6.2
"29486374",1,181,47,7,4,7.2,3.8,-3,-3.4,6.3,182,47,,,5.8,5.2,,-0.6,6.4
"29486374",2,182,47,,,5.8,5.2,,-0.6,6.4,181,47,7,4,7.2,3.8,-3,-3.4,6.3
"29493026",1,183,34,5,6,6.6,4.4,1,-2.2,7.9,184,36,6.8,4.2,5.8,5.2,-2.6,-0.6,7.5
"29493026",2,184,36,6.8,4.2,5.8,5.2,-2.6,-0.6,7.5,183,34,5,6,6.6,4.4,1,-2.2,7.9
"29508533",1,185,39,6,5,4.2,6.8,-1,2.6,5.5,186,49,6,5,5.2,5.8,-1,0.6,
"29508533",2,186,49,6,5,5.2,5.8,-1,0.6,,185,39,6,5,4.2,6.8,-1,2.6,5.5
"29526900",1,187,58,7.2,3.8,7,4,-3.4,-3,8.5,188,74,7.2,3.8,7,4,-3.4,-3,8.6
"29526900",2,188,74,7.2,3.8,7,4,-3.4,-3,8.6,187,58,7.2,3.8,7,4,-3.4,-3,8.5
"29532872",1,189,40,4,7,4.4,6.6,3,2.2,7.4,190,53,5.2,5.8,5.2,5.8,0.6,0.6,9
"29532872",2,190,53,5.2,5.8,5.2,5.8,0.6,0.6,9,189,40,4,7,4.4,6.6,3,2.2,7.4
"29536578",1,191,51,7.2,3.8,6.8,4.2,-3.4,-2.6,3.5,192,42,7.4,3.6,5.4,5.6,-3.8,0.199999999999999,5.1
"29536578",2,192,42,7.4,3.6,5.4,5.6,-3.8,0.199999999999999,5.1,191,51,7.2,3.8,6.8,4.2,-3.4,-2.6,3.5
"29559028",1,193,39,5.2,5.8,5.4,5.6,0.6,0.199999999999999,6.6,194,42,5,6,4.8,6.2,1,1.4,6.3
"29559028",2,194,42,5,6,4.8,6.2,1,1.4,6.3,193,39,5.2,5.8,5.4,5.6,0.6,0.199999999999999,6.6
"29577345",1,195,41,6,5,7.2,3.8,-1,-3.4,8.4,196,43,6,5,5.2,5.8,-1,0.6,8.6
"29577345",2,196,43,6,5,5.2,5.8,-1,0.6,8.6,195,41,6,5,7.2,3.8,-1,-3.4,8.4
"29579556",1,197,36,3.8,7.2,6,5,3.4,-1,8.4,198,41,6.2,4.8,5.8,5.2,-1.4,-0.6,8.6
"29579556",2,198,41,6.2,4.8,5.8,5.2,-1.4,-0.6,8.6,197,36,3.8,7.2,6,5,3.4,-1,8.4
"29597452",1,199,41,4,7,6.2,4.8,3,-1.4,8,200,43,4,7,3,8,3,5,8.1
"29597452",2,200,43,4,7,3,8,3,5,8.1,199,41,4,7,6.2,4.8,3,-1.4,8
"29601472",1,201,36,6.2,4.8,7.8,3.2,-1.4,-4.6,8.8,202,39,8,3,5,6,-5,1,8.6
"29601472",2,202,39,8,3,5,6,-5,1,8.6,201,36,6.2,4.8,7.8,3.2,-1.4,-4.6,8.8
